,2.5%,97.5%,OR,Feature,Country,Region,log_OR,log_lower_CI,log_upper_CI,SE,Unexposed,Exposed,Total
0,1.5813577150347387,3.8782908852392426,2.4764824272588695,Barthel,China,Asia,0.9068391772240366,0.4582837913536911,1.3553945630943822,0.22885478870936002,5976,600,6576
0,1.0988296967455373,3.0125045082243296,1.819403587777243,Barthel,Chile,LatinAmerica,0.5985087483601531,0.09424570139865106,1.1027717953216551,0.25727706477627654,881,156,1037
0,2.0756250215367684,6.379177822004443,3.638788411571199,Barthel,Uruguay,LatinAmerica,1.2916507722765167,0.730262323524914,1.8530392210281192,0.2864226779344911,1237,108,1345
0,2.484985810739108,3.346287426703956,2.88365684054362,Barthel,Colombia,LatinAmerica,1.059059225014307,0.9102669495681485,1.2078515004604655,0.07591442624804007,20806,1480,22286
0,1.1851402026189806,1.8843343556014016,1.4943896412915045,Barthel,Ecuador,LatinAmerica,0.4017178567844665,0.1698610820348895,0.6335746315340434,0.11829427283141682,3077,588,3665
0,1.408418337303289,2.454281706383937,1.8592082616477217,Barthel,Brasil,LatinAmerica,0.6201507313229194,0.3424673281680551,0.8978341344777839,0.14167520569125736,8272,301,8573
0,3.945327627985909,8.540797132931003,5.804846500431818,Barthel,Korea,Asia,1.7586931721528376,1.372531999768582,2.144854344537093,0.19702100631849773,8499,226,8725
0,1.93139975557402,2.288503279529572,2.10238309418473,Barthel,Mexico,LatinAmerica,0.7430715080775407,0.6582450019968876,0.8278980141581938,0.04327882963298626,14419,3761,18180
0,0.4563189532860343,4.885886149505793,1.4931585493902566,Barthel,Egipto,Africa,0.40089370808971425,-0.7845632550145596,1.5863506711939883,0.60482498117565,19,251,270
0,3.25318737195243,8.380595999949914,5.221460435210834,Barthel,India,Asia,1.652777139624613,1.1796352455718628,2.125919033677363,0.24139892553711734,492,164,656
0,1.6637593234766264,3.2799789205931864,2.3360427029366813,Barthel,Austria,WesternEurope,0.8484583451656268,0.5090796946042708,1.1878369957269825,0.17315237273538564,4030,203,4233
0,1.5173190022190843,2.7307987518076033,2.0355571319306747,Barthel,Belgium,WesternEurope,0.7107695563295562,0.41694496317661806,1.0045941494824944,0.14991050671068276,4614,266,4880
0,1.8755110792108667,3.42147305607369,2.5331819168562824,Barthel,Czechia,EasternEurope,0.9294761871759045,0.628881197859529,1.2300711764922798,0.15336479046753848,5195,294,5489
0,1.4295612111525218,5.1412996104958815,2.7110519172598817,Barthel,Switzerland,WesternEurope,0.9973367209269913,0.3573675518372628,1.63730589001672,0.326514882188637,2539,53,2592
0,2.1097479481987267,3.9829597612372325,2.898799955848686,Barthel,Germany,WesternEurope,1.0642968430220956,0.7465684845225719,1.3820252015216192,0.16210630535689985,4302,225,4527
0,2.639393140322779,9.764822805873818,5.076731855267795,Barthel,Denmark,NorthernEurope,1.6246677189840548,0.9705490196439598,2.2787864183241497,0.33373403027555865,2526,64,2590
0,2.3018336845948153,3.418859936457231,2.8052891053595426,Barthel,Estonia,NorthernEurope,1.0315066015278969,0.8337060594684701,1.2293071435873237,0.10091864390787082,6806,644,7450
0,2.63602619858417,5.480493650259888,3.800884744800775,Barthel,Spain,SouthernEurope,1.335233867211357,0.9692725553557313,1.7011951790669828,0.18671495502838048,4510,305,4815
0,1.6574904162762722,3.9202105378618404,2.5490608851675653,Barthel,France,WesternEurope,0.9357250110120358,0.505304661025733,1.3661453609983385,0.2196022193807667,3474,138,3612
0,2.017874885852627,3.9101575225052674,2.8089515240372354,Barthel,Hungary,EasternEurope,1.0328112905994817,0.7020449209274459,1.3635776602715177,0.16875835187348773,2720,269,2989
0,4.629640318540518,9.839627042969083,6.749365457399033,Barthel,Italy,SouthernEurope,1.909448494154314,1.5324791801000586,2.2864178082085695,0.1923312826807426,4238,213,4451
0,0.7736214785810298,2.157351934478927,1.2918876860513968,Barthel,Netherlands,WesternEurope,0.2561044712809761,-0.2566725707752335,0.7688815133371856,0.2616209398245967,2450,81,2531
0,1.3728889474011559,2.583287271485056,1.8832330028395112,Barthel,Poland,EasternEurope,0.6329899822426143,0.31691724033992746,0.9490627241453011,0.16126160301157494,3376,217,3593
0,1.6324778377854903,6.687538659853553,3.304127517446111,Barthel,Portugal,SouthernEurope,1.1951724497826466,0.49009900644719695,1.9002458931180963,0.3597313486405356,1785,116,1901
0,1.6540802146183728,5.5276953812725385,3.02378100440496,Barthel,Sweden,NorthernEurope,1.1065080365166373,0.5032450927764316,1.709770980256843,0.3077872161939825,2692,60,2752
0,1.9310851541323484,3.274901151253947,2.514778915618117,Barthel,Slovenia,EasternEurope,0.922184893372852,0.6580821009372217,1.1862876858084823,0.13474632267123995,4891,344,5235
0,3.7251829007627832,13.003091653441526,6.9598056499051495,Barthel,Israel,Asia,1.9401515500922473,1.3151159515020292,2.5651871486824653,0.3188957135664378,871,66,937
0,1.1015644624910037,3.0273501309414614,1.8261493147501933,Barthel,Luxembourg,WesternEurope,0.6022095503248472,0.09673140800908099,1.1076876926406136,0.25789701138559507,1987,91,2078
0,2.0673577996051358,4.932123107729533,3.193190125153429,Barthel,Greece,SouthernEurope,1.1610204563236919,0.7262713666410866,1.5957695460062973,0.2218107600421456,2438,136,2574
0,2.6541420644697986,6.177739303410861,4.049271261413727,Barthel,Croatia,EasternEurope,1.3985369294747212,0.9761214629136667,1.8209523960357756,0.21551809518421144,2633,133,2766
0,1.8259479662129163,3.9757066966244556,2.694333601646332,Barthel,Bulgaria,EasternEurope,0.9911509016677813,0.6020992857168751,1.3802025176186876,0.19849572242393176,1778,152,1930
