,2.5%,97.5%,OR,Feature,Country,Region,log_OR,log_lower_CI,log_upper_CI,SE,Unexposed,Exposed,Total
0,1.0623415778333467,2.0103456521280423,1.4613944614894752,Cognition,China,Asia,0.37939109050155767,0.060475507483771625,0.6983066735193435,0.1627120321519316,5890,637,6527
0,1.2961955145742707,107.803432131103,11.820927424870161,Cognition,Chile,LatinAmerica,2.469871471240905,0.2594334465628672,4.680309495918943,1.127774502386754,981,50,1031
0,0.4232140830877742,41.148198735198136,4.1730680797742075,Cognition,Uruguay,LatinAmerica,1.428651515824339,-0.8598771213741212,3.717180153022799,1.1676166516318673,1313,13,1326
0,2.2632855442661213,3.2110579723925636,2.6958377344930406,Cognition,Colombia,LatinAmerica,0.9917090037361388,0.816817538216896,1.166600469255382,0.08923033955063418,20603,1608,22211
0,0.7238231303867542,3.1933141275727763,1.5203271451000187,Cognition,Ecuador,LatinAmerica,0.4189255387396545,-0.32320821148723583,1.161059288966545,0.37863966848310737,3531,97,3628
0,1.479220435876681,1.8937209669531483,1.6736877708118816,Cognition,Brasil,LatinAmerica,0.5150294378320744,0.3915152164879633,0.6385436591761856,0.06301745986944447,6789,1786,8575
0,2.3705729830257827,3.336041097160216,2.812175118158842,Cognition,Korea,Asia,1.0339582473148126,0.863131690916376,1.2047848037132491,0.08715640632573295,7720,940,8660
0,2.3391243280078653,2.7285018379781216,2.5263224315650605,Cognition,Mexico,LatinAmerica,0.926764660899164,0.8497766405322239,1.003752681266104,0.039279602228030626,11031,7149,18180
0,0.952338367723724,3.2175627724528857,1.7504880687300903,Cognition,Egipto,Africa,0.5598946454682411,-0.04883487905921754,1.1686241699956996,0.31057628802421355,176,92,268
0,4.708062264055521,12.106896354509221,7.549835883083567,Cognition,India,Asia,2.021525825684749,1.5492764144710547,2.4937752368984434,0.24094357714984405,537,137,674
0,1.8846359055765345,2.9894238256041015,2.3735996879675083,Cognition,Austria,WesternEurope,0.8644076585348727,0.6337346487031266,1.0950806683666188,0.11769031113864598,3801,481,4282
0,1.3562127323003725,2.104901570897386,1.6895840644046363,Cognition,Belgium,WesternEurope,0.5244823829066323,0.30469605944088746,0.7442687063723772,0.11213587931925759,4313,556,4869
0,1.74164532192355,2.541272566289152,2.103804999711275,Cognition,Czechia,EasternEurope,0.743747609834746,0.554830253752768,0.9326649659167238,0.09638640616427445,4815,735,5550
0,1.3507973972600318,2.73184592272536,1.920981614209997,Cognition,Switzerland,WesternEurope,0.652836312793193,0.3006950827137028,1.0049775428726833,0.1796638928976991,2391,191,2582
0,2.3305413612244013,3.730213273489906,2.94845999125925,Cognition,Germany,WesternEurope,1.0812829971817741,0.8461005844630853,1.316465409900463,0.1199910268972902,4114,444,4558
