,2.5%,97.5%,OR,Feature,Country,Region,log_OR,log_lower_CI,log_upper_CI,SE,Unexposed,Exposed,Total
0,0.965595118158354,1.3765519895366511,1.1529058422038463,Well_being_domain,China,Asia,0.14228557464253197,-0.03501066497137825,0.31958181425644205,0.09045726510913785,2216,4337,6553
0,1.0221151144893013,2.0872502927118117,1.4606197560977192,Well_being_domain,Chile,LatinAmerica,0.3788608361275405,0.021874121925096076,0.7358475503299852,0.1821360786747166,267,763,1030
0,0.714189416703091,1.3418803258854428,0.9789569588237667,Well_being_domain,Uruguay,LatinAmerica,-0.02126760184733806,-0.33660706232546234,0.29407185863078633,0.16088747983577772,266,1070,1336
0,2.2708605711860916,2.596563243408564,2.4282572124977992,Well_being_domain,Colombia,LatinAmerica,0.8871738035410474,0.8201588659000735,0.9541887411820213,0.03419129471478262,12291,9512,21803
0,0.9859247846515506,1.5619805758675191,1.2409654962536585,Well_being_domain,Ecuador,LatinAmerica,0.2158897026559856,-0.014175210604079032,0.44595461591605023,0.11738005778574727,670,2962,3632
0,0.5248787602203395,0.6543633578177374,0.586055823266856,Well_being_domain,Brasil,LatinAmerica,-0.5343402323946816,-0.6445879759732636,-0.4240924888160997,0.056248848764582624,2621,5892,8513
0,2.3574431886790497,3.3315636095163756,2.8024938784777693,Well_being_domain,Korea,Asia,1.0305096916541274,0.8575776371138172,1.2034417461944376,0.08823064007158683,1670,6999,8669
0,1.6012337509120729,2.0647177392465315,1.8182672328864147,Well_being_domain,Mexico,LatinAmerica,0.5978839777397127,0.470774426425295,0.7249935290541303,0.06485181189511105,3858,2123,5981
0,1.298294741279912,2.324377485456143,1.7371606333661649,Well_being_domain,Austria,WesternEurope,0.5522519604536363,0.2610516659098057,0.843452254997467,0.14857157884889322,931,369,1300
0,1.102854458804159,1.7193972354975064,1.37704208636627,Well_being_domain,Belgium,WesternEurope,0.3199377830893815,0.09790178125161124,0.5419737849271516,0.11328367440702561,1100,821,1921
0,1.1984529028004645,1.8312338901691303,1.481434295329962,Well_being_domain,Czechia,EasternEurope,0.39301073695008876,0.18103147733289932,0.6049899965672783,0.10815268347815789,968,1026,1994
0,1.2258601864826946,2.2031187490707036,1.6433853962413483,Well_being_domain,Switzerland,WesternEurope,0.4967583801674155,0.20364279062160076,0.7898739697132303,0.1495487701764361,836,408,1244
0,1.4370131993613535,2.218918626850709,1.7856694417201742,Well_being_domain,Germany,WesternEurope,0.5797933823009122,0.36256679241403017,0.7970199721877942,0.1108298927994296,1390,730,2120
